Fecha,F049.BPV.PMT.INE1.01.A,F049.CES.PMT.INE1.01.A,F049.CMH.IND.INE1.81.A,F049.CMH.IND.INE1.82.A,F049.DES.PMT.INE1.01.A,F049.DES.PMT.INE2.01.A,F049.DES.PMT.INE2.31.A,F049.DES.PMT.INE2.32.A,F049.DES.PMT.INE2.33.A,F049.DES.PMT.INE2.34.A,F049.DES.PMT.INE2.35.A,F049.DES.PMT.INE2.36.A,F049.DES.PMT.INE2.37.A,F049.DES.PMT.INE2.38.A,F049.DES.PMT.INE2.39.A,F049.DES.PMT.INE2.40.A,F049.DES.TAD.INE1.01.A,F049.DES.TAS.INE1.10.A,F049.DES.TAS.INE1.10N.A,F049.DES.TAS.INE1.11.A,F049.DES.TAS.INE1.11N.A,F049.DES.TAS.INE1.12.A,F049.DES.TAS.INE1.12N.A,F049.DES.TAS.INE1.13.A,F049.DES.TAS.INE1.13N.A,F049.DES.TAS.INE1.14.A,F049.DES.TAS.INE1.14N.A,F049.DES.TAS.INE1.15.A,F049.DES.TAS.INE1.15N.A,F049.DES.TAS.INE1.16.A,F049.DES.TAS.INE1.16N.A,F049.DES.TAS.INE1.17.A,F049.DES.TAS.INE1.17N.A,F049.DES.TAS.INE1.18.A,F049.DES.TAS.INE1.18N.A,F049.DES.TAS.INE1.19.A,F049.DES.TAS.INE1.19N.A,F049.DES.TAS.INE1.20.A,F049.DES.TAS.INE1.20N.A,F049.DES.TAS.INE1.21.A,F049.DES.TAS.INE1.21N.A,F049.DES.TAS.INE1.22.A,F049.DES.TAS.INE1.22N.A,F049.DES.TAS.INE1.23.A,F049.DES.TAS.INE1.23N.A,F049.DES.TAS.INE1.24.A,F049.DES.TAS.INE1.25.A,F049.FTR.PMT.INE1.01.A,F051.G11.PPI.C.Z.CLP.A,F049.INC.PMT.INE1.01.A,F049.OCU.PMD.INE1.01.A,F049.OCU.PMT.INE1.01.A,F049.OCU.PMT.INE1.31.A,F049.OCU.PMT.INE1.32.A,F049.OCU.PMT.INE1.33.A,F049.OCU.PMT.INE1.34.A,F049.OCU.PMT.INE1.35.A,F049.OCU.PMT.INE1.36.A,F049.OCU.PMT.INE1.37.A,F049.OCU.PMT.INE1.38.A,F049.OCU.PMT.INE1.39.A,F049.OCU.PMT.INE1.41.A,F049.OCU.PMT.INE1.42.A,F049.OCU.PMT.INE1.43.A,F049.OCU.PMT.INE1.44.A,F049.OCU.PMT.INE1.45.A,F049.OCU.PMT.INE1.46.A,F049.OCU.PMT.INE1.47.A,F049.OCU.PMT.INE1.48.A,F049.OCU.PMT.INE1.49.A,F049.OCU.PMT.INE1.50.A,F049.OCU.PMT.INE1.51.A,F049.POB.PMT.INE1.05.A,F049.POB.STO.INE1.02.A,F049.POB.STO.INE1.03.A,F049.RMM.PRE.INE1.01.A,F049.RMM.PRE.INE1.32.A,F049.RMM.PRE.INE1.33.A,F049.RMM.PRE.INE1.34.A,F049.RMM.PRE.INE1.35.A,F049.RMM.PRE.INE1.36.A,F049.RMM.PRE.INE1.37.A,F049.RMM.PRE.INE1.38.A,F049.RMM.PRE.INE1.39.A,F049.RMM.PRE.INE1.71.A,F049.RMM.PRE.INE1.72.A,F049.RMM.PRE.INE1.73.A,F049.RMM.PRE.INE1.74.A,F049.RMM.PRE.INE1.75.A,F049.RMM.PRE.INE1.76.A,F049.RMM.PRE.INE1.77.A,F049.RMM.PRE.INE1.78.A,F049.RMM.PRE.INE1.79.A,F049.RMU.IND.INE1.81.A,F049.RMU.IND.INE1.82.A,F039.S1.STO.N.CLP.2008.Z.00.0.A,F039.S1.STO.N.CLP.2008.Z.01.0.A,F039.S1.STO.N.CLP.2008.Z.02.0.A,F039.S1.STO.N.CLP.2008.Z.03.0.A,F039.S1.STO.N.CLP.2013.Z.00.0.A,F039.S1.STO.N.CLP.2013.Z.01.0.A,F039.S1.STO.N.CLP.2013.Z.02.0.A,F039.S1.STO.N.CLP.2013.Z.03.0.A,F039.S1.STO.R.CLP.2008.Z.00.0.A,F039.S1.STO.R.CLP.2008.Z.01.0.A,F039.S1.STO.R.CLP.2008.Z.02.0.A,F039.S1.STO.R.CLP.2008.Z.03.0.A,F039.S1.STO.R.CLP.2013.Z.00.0.A,F039.S1.STO.R.CLP.2013.Z.01.0.A,F039.S1.STO.R.CLP.2013.Z.02.0.A,F039.S1.STO.R.CLP.2013.Z.03.0.A,F039.S2.STO.N.CLP.2008.00.Z.0.A,F039.S2.STO.N.CLP.2008.01.Z.0.A,F039.S2.STO.N.CLP.2008.03.Z.0.A,F039.S2.STO.N.CLP.2008.04.Z.0.A,F039.S2.STO.N.CLP.2008.05.Z.0.A,F039.S2.STO.N.CLP.2008.06.Z.0.A,F039.S2.STO.N.CLP.2008.07.Z.0.A,F039.S2.STO.N.CLP.2008.08.Z.0.A,F039.S2.STO.N.CLP.2008.10.Z.0.A,F039.S2.STO.N.CLP.2008.11.Z.0.A,F039.S2.STO.N.CLP.2008.21.Z.0.A,F039.S2.STO.N.CLP.2008.Z.00.0.A,F039.S2.STO.N.CLP.2008.Z.01.0.A,F039.S2.STO.N.CLP.2008.Z.02.0.A,F039.S2.STO.N.CLP.2008.Z.03.0.A,F039.S2.STO.N.CLP.2013.00.Z.0.A,F039.S2.STO.N.CLP.2013.01.Z.0.A,F039.S2.STO.N.CLP.2013.03.Z.0.A,F039.S2.STO.N.CLP.2013.04.Z.0.A,F039.S2.STO.N.CLP.2013.05.Z.0.A,F039.S2.STO.N.CLP.2013.06.Z.0.A,F039.S2.STO.N.CLP.2013.07.Z.0.A,F039.S2.STO.N.CLP.2013.08.Z.0.A,F039.S2.STO.N.CLP.2013.10.Z.0.A,F039.S2.STO.N.CLP.2013.11.Z.0.A,F039.S2.STO.N.CLP.2013.21.Z.0.A,F039.S2.STO.N.CLP.2013.Z.00.0.A,F039.S2.STO.N.CLP.2013.Z.01.0.A,F039.S2.STO.N.CLP.2013.Z.02.0.A,F039.S2.STO.N.CLP.2013.Z.03.0.A,F039.S2.STO.R.CLP.2008.00.Z.0.A,F039.S2.STO.R.CLP.2008.01.Z.0.A,F039.S2.STO.R.CLP.2008.03.Z.0.A,F039.S2.STO.R.CLP.2008.04.Z.0.A,F039.S2.STO.R.CLP.2008.05.Z.0.A,F039.S2.STO.R.CLP.2008.06.Z.0.A,F039.S2.STO.R.CLP.2008.07.Z.0.A,F039.S2.STO.R.CLP.2008.08.Z.0.A,F039.S2.STO.R.CLP.2008.10.Z.0.A,F039.S2.STO.R.CLP.2008.11.Z.0.A,F039.S2.STO.R.CLP.2008.21.Z.0.A,F039.S2.STO.R.CLP.2008.Z.00.0.A,F039.S2.STO.R.CLP.2008.Z.01.0.A,F039.S2.STO.R.CLP.2008.Z.02.0.A,F039.S2.STO.R.CLP.2008.Z.03.0.A,F039.S2.STO.R.CLP.2013.01.Z.0.A,F039.S2.STO.R.CLP.2013.03.Z.0.A,F039.S2.STO.R.CLP.2013.04.Z.0.A,F039.S2.STO.R.CLP.2013.05.Z.0.A,F039.S2.STO.R.CLP.2013.06.Z.0.A,F039.S2.STO.R.CLP.2013.07.Z.0.A,F039.S2.STO.R.CLP.2013.08.Z.0.A,F039.S2.STO.R.CLP.2013.10.Z.0.A,F039.S2.STO.R.CLP.2013.11.Z.0.A,F039.S2.STO.R.CLP.2013.21.Z.0.A,F039.S2.STO.R.CLP.2013.Z.00.0.A,F039.S2.STO.R.CLP.2013.Z.01.0.A,F039.S2.STO.R.CLP.2013.Z.02.0.A,F039.S2.STO.R.CLP.2013.Z.03.0.A,F039.S3.STO.N.CLP.2008.00.Z.0.A,F039.S3.STO.N.CLP.2008.01.Z.0.A,F039.S3.STO.N.CLP.2008.03.Z.0.A,F039.S3.STO.N.CLP.2008.04.Z.0.A,F039.S3.STO.N.CLP.2008.05.Z.0.A,F039.S3.STO.N.CLP.2008.06.Z.0.A,F039.S3.STO.N.CLP.2008.07.Z.0.A,F039.S3.STO.N.CLP.2008.08.Z.0.A,F039.S3.STO.N.CLP.2008.10.Z.0.A,F039.S3.STO.N.CLP.2008.11.Z.0.A,F039.S3.STO.N.CLP.2008.21.Z.0.A,F039.S3.STO.N.CLP.2008.Z.00.0.A,F039.S3.STO.N.CLP.2008.Z.01.0.A,F039.S3.STO.N.CLP.2008.Z.02.0.A,F039.S3.STO.N.CLP.2008.Z.03.0.A,F039.S3.STO.N.CLP.2013.00.Z.0.A,F039.S3.STO.N.CLP.2013.01.Z.0.A,F039.S3.STO.N.CLP.2013.03.Z.0.A,F039.S3.STO.N.CLP.2013.04.Z.0.A,F039.S3.STO.N.CLP.2013.05.Z.0.A,F039.S3.STO.N.CLP.2013.06.Z.0.A,F039.S3.STO.N.CLP.2013.07.Z.0.A,F039.S3.STO.N.CLP.2013.08.Z.0.A,F039.S3.STO.N.CLP.2013.10.Z.0.A,F039.S3.STO.N.CLP.2013.11.Z.0.A,F039.S3.STO.N.CLP.2013.21.Z.0.A,F039.S3.STO.N.CLP.2013.Z.00.0.A,F039.S3.STO.N.CLP.2013.Z.01.0.A,F039.S3.STO.N.CLP.2013.Z.02.0.A,F039.S3.STO.N.CLP.2013.Z.03.0.A,F039.S3.STO.R.CLP.2008.00.Z.0.A,F039.S3.STO.R.CLP.2008.01.Z.0.A,F039.S3.STO.R.CLP.2008.03.Z.0.A,F039.S3.STO.R.CLP.2008.04.Z.0.A,F039.S3.STO.R.CLP.2008.05.Z.0.A,F039.S3.STO.R.CLP.2008.06.Z.0.A,F039.S3.STO.R.CLP.2008.07.Z.0.A,F039.S3.STO.R.CLP.2008.08.Z.0.A,F039.S3.STO.R.CLP.2008.10.Z.0.A,F039.S3.STO.R.CLP.2008.11.Z.0.A,F039.S3.STO.R.CLP.2008.21.Z.0.A,F039.S3.STO.R.CLP.2008.Z.00.0.A,F039.S3.STO.R.CLP.2008.Z.01.0.A,F039.S3.STO.R.CLP.2008.Z.02.0.A,F039.S3.STO.R.CLP.2008.Z.03.0.A,F039.S3.STO.R.CLP.2013.00.Z.0.A,F039.S3.STO.R.CLP.2013.01.Z.0.A,F039.S3.STO.R.CLP.2013.03.Z.0.A,F039.S3.STO.R.CLP.2013.04.Z.0.A,F039.S3.STO.R.CLP.2013.05.Z.0.A,F039.S3.STO.R.CLP.2013.06.Z.0.A,F039.S3.STO.R.CLP.2013.07.Z.0.A,F039.S3.STO.R.CLP.2013.08.Z.0.A,F039.S3.STO.R.CLP.2013.10.Z.0.A,F039.S3.STO.R.CLP.2013.11.Z.0.A,F039.S3.STO.R.CLP.2013.21.Z.0.A,F039.S3.STO.R.CLP.2013.Z.00.0.A,F039.S3.STO.R.CLP.2013.Z.01.0.A,F039.S3.STO.R.CLP.2013.Z.02.0.A,F039.S3.STO.R.CLP.2013.Z.03.0.A,F049.VTR.IND.BCC1.01.A,F049.VTR.IND.BCC1.61.A,F049.VTR.IND.BCC1.62.A,F049.VTR.IND.BCC1.63.A,F049.VTR.IND.BCC1.64.A,F049.VTR.IND.BCC1.65.A,F049.VTR.IND.BCC1.66.A
01-01-2000,77,502,78,90,579,539,40,5,78,3,82,87,34,42,86,78,9,9,,10,,11,,11,,8,,12,,5,,9,,10,,7,,5,,5,,6,,10,,,,5993,0,5027,5413,5414,764,78,769,27,401,1030,428,417,1495,554,202,787,666,773,312,782,229,336,721,45,11021,7548498,7794828,240025,455094,210050,476852,162378,184608,241561,448663,260849,1064262,629861,395571,300033,172572,157074,237550,202321,167553,78,90,144455174,55602819,60444323,28408031,151182,61464,59497,30219,220033678,93387485,101638728,25007463,261665,116195,119455,26014,90640438,4127342,7887746,8505201,6437618,1751188,4955474,5168634,34079131,13239481,4488617,90640438,34079131,38045341,18515964,95122,3399,5687,10908,5317,2002,3300,8460,37672,15339,3035,95122,37672,37447,20002,137529140,5665919,12114946,10694627,10206498,1690862,6770654,6521923,57237465,20752132,5874112,137529140,57237465,64005385,16286290,5278,10274,14218,9330,1809,5894,13596,71216,28117,4171,163909,71216,75479,17213,4495303,428668,348022,741954,281250,130738,433490,372546,888544,634914,235173,4495303,888544,1588801,2017957,4617,280,342,744,299,144,223,574,982,803,222,4617,982,1554,2080,5892165,493662,487295,795241,414691,127000,504074,419289,1492351,892662,265894,5892165,1492351,2636470,1763342,6728,405,548,810,459,128,307,741,1856,1205,263,6728,1856,3081,1790,93,85,87,77,103,96,93
02-01-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-01-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-01-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-01-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-01-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-01-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-01-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-01-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-01-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-01-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-01-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-01-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-01-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-01-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-01-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-01-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-01-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-01-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
